id,category,tier,name,division,district,lat,lon,status,coord_precision,notes
B01,border,border,Haluaghat (Gobrakura/Karaitoli land port),Mymensingh,Mymensingh,25.1500,90.3833,planned,approx,"Meghalaya/Garo Hills border crossing"
B02,border,border,Durgapur border area,Mymensingh,Netrokona,25.1167,90.6500,planned,approx,"Meghalaya border, Someshwari river crossing"
B03,border,border,Burimari border village,Rangpur,Lalmonirhat,26.0167,89.0667,planned,approx,"India border, Burimari land port"
B04,border,border,Panchagarh / Banglabandha,Rangpur,Panchagarh,26.3500,88.5333,planned,approx,"Tri-junction border zone, Banglabandha land port"
B05,border,border,Kurigram border char,Rangpur,Kurigram,25.8054,89.6361,planned,approx,"India border, char/floodplain border belt"
B06,border,border,Sona Mosjid border village,Rajshahi,Chapainawabganj,24.5965,88.2776,planned,approx,"India border, Sonamasjid land port"
B07,border,border,Porsha (Nithpur border point),Rajshahi,Naogaon,25.0250,88.4833,planned,approx,"India/West Bengal border, Porsha upazila"
B08,border,border,Godagari border area,Rajshahi,Rajshahi,24.5667,88.3667,planned,approx,"India border, Padma riverine border stretch"
B09,border,border,Satkhira / Bhomra land port,Khulna,Satkhira,22.5167,88.8833,planned,approx,"India/West Bengal border, Bhomra land port near Sundarbans"
B10,border,border,Benapole land port area,Khulna,Jashore,23.0500,88.9167,planned,approx,"Major India border crossing, Benapole land port"
B11,border,border,Jaflong / Tamabil,Sylhet,Sylhet,25.1667,92.0167,planned,approx,"Meghalaya border, Dawki-Tamabil ICP, quarrying dust"
B12,border,border,Sunamganj border haor area (Tahirpur),Sylhet,Sunamganj,25.2000,91.0167,planned,approx,"Meghalaya border, haor-fringe border zone"
B13,border,border,Habiganj border-adjacent area (Chunarughat),Sylhet,Habiganj,24.1167,91.4500,planned,approx,"Meghalaya/Tripura border foothills"
B14,border,border,Teknaf,Chattogram,Cox's Bazar,20.8628,92.3057,planned,approx,"Only Myanmar-facing site in the network"
B15,border,border,Naikhongchhari border area,Chattogram,Bandarban,21.5167,92.3667,planned,approx,"Myanmar border, hill-tract border crossing"
