id,category,tier,name,division,district,lat,lon,status,coord_precision,notes
C01,ambient,semi-urban,Tangail town,Dhaka,Tangail,24.2513,89.9167,planned,approx,"Existing DoE compact-station town; sub-Dhaka-periphery"
C02,ambient,village,Manikganj rural union (Singair),Dhaka,Manikganj,23.8500,90.0000,planned,approx,"Brick-kiln-belt rural exposure"
C03,ambient,village,Munshiganj rural union (Tongibari),Dhaka,Munshiganj,23.5022,90.3196,planned,approx,"Char/floodplain rural background"
C04,ambient,semi-urban,Cumilla city outskirts,Chattogram,Cumilla,23.4607,91.1809,planned,approx,"Existing DoE compact-station town"
C05,ambient,village,Noakhali coastal rural union (Hatiya),Chattogram,Noakhali,22.1167,91.1000,planned,approx,"Cyclone-exposed, saline, agriculture-dominated"
C06,ambient,village,Chandpur rural union (Haimchar),Chattogram,Chandpur,23.2333,90.6500,planned,approx,"Riverine char rural background"
C07,ambient,village,Khagrachari hill village interior,Chattogram,Khagrachari,23.1193,91.9847,planned,approx,"True highland background, near-pristine target site"
C08,ambient,semi-urban,Bogura city outskirts,Rajshahi,Bogura,24.8465,89.3776,planned,approx,"Existing DoE compact-station town"
C09,ambient,semi-urban,Joypurhat town,Rajshahi,Joypurhat,25.0968,89.0227,planned,approx,"Agricultural-residue burning influence"
C10,ambient,village,Naogaon rural union (interior),Rajshahi,Naogaon,24.7936,88.9318,planned,approx,"Dust/agri-residue rural background, driest zone"
C11,ambient,village,Pabna rural union (Bera),Rajshahi,Pabna,24.0064,89.2372,planned,approx,"Jamuna char-belt rural regime"
C12,ambient,semi-urban,Bagerhat town,Khulna,Bagerhat,22.6602,89.7895,planned,approx,"Existing DoE compact-station town"
C13,ambient,semi-urban,Jashore town,Khulna,Jashore,23.1667,89.2167,planned,approx,"Urban-periphery contrast, western deltaic zone"
C14,ambient,village,Sundarbans-fringe village (Shyamnagar),Khulna,Satkhira,22.3333,89.1167,planned,approx,"Saline-soil, mangrove-adjacent"
C15,ambient,village,Koyra rural union,Khulna,Khulna,22.4333,89.2167,planned,approx,"Saline coastal rural background"
C16,ambient,semi-urban,Srimangal town,Sylhet,Moulvibazar,24.3065,91.7296,planned,approx,"Tea-garden hub, sub-urban, low combustion density"
C17,ambient,semi-urban,Habiganj town,Sylhet,Habiganj,24.3745,91.4156,planned,approx,"Sub-urban tea/agriculture transitional"
C18,ambient,village,Tea-estate village (Jaintiapur),Sylhet,Sylhet,25.1333,92.1500,planned,approx,"True rural background under heavy rainfall"
C19,ambient,village,Sunamganj haor-fringe village,Sylhet,Sunamganj,25.0658,91.3950,planned,approx,"Seasonal wetland/haor regime"
C20,ambient,semi-urban,Bhola town,Barishal,Bhola,22.6841,90.6474,planned,approx,"Estuarine sub-urban contrast"
C21,ambient,semi-urban,Patuakhali town,Barishal,Patuakhali,22.3596,90.3296,planned,approx,"Coastal sub-urban, cyclone-belt"
C22,ambient,village,Barguna rural union,Barishal,Barguna,22.0953,90.1121,planned,approx,"Cyclone-exposed coastal rural background"
C23,ambient,village,Pirojpur rural union,Barishal,Pirojpur,22.5841,89.9720,planned,approx,"Riverine delta rural site"
C24,ambient,village,Jhalokati rural union,Barishal,Jhalokati,22.6406,90.1987,planned,approx,"Riverine delta rural background"
C25,ambient,semi-urban,Dinajpur town,Rangpur,Dinajpur,25.6279,88.6332,planned,approx,"Near Barapukuria coal belt"
C26,ambient,semi-urban,Gaibandha town,Rangpur,Gaibandha,25.3288,89.5281,planned,approx,"Jamuna-Teesta confluence sub-urban"
C27,ambient,village,Gaibandha rural union (Sundarganj),Rangpur,Gaibandha,25.4500,89.4667,planned,approx,"Brahmaputra char rural floodplain regime"
C28,ambient,village,Nilphamari rural union,Rangpur,Nilphamari,25.9317,88.8560,planned,approx,"Northern agricultural rural background"
C29,ambient,semi-urban,Jamalpur town,Mymensingh,Jamalpur,24.9375,89.9376,planned,approx,"Brahmaputra-belt sub-urban"
C30,ambient,semi-urban,Sherpur town,Mymensingh,Sherpur,25.0200,90.0153,planned,approx,"Garo Hills foothill sub-urban"
C31,ambient,village,Netrokona haor-fringe village,Mymensingh,Netrokona,24.8819,90.7280,planned,approx,"Haor/wetland rural background"
C32,ambient,village,Mymensingh rural union (Bhaluka),Mymensingh,Mymensingh,24.6500,90.3500,planned,approx,"Agricultural rural background"
